
Expectation values
  Settings       N_ab   <AB>_sim    <AB>_qm StdErr_sim
56.25, 191.25       9699      0.726      0.707      0.007
56.25, 202.5       9917      0.852      0.831      0.009
56.25, 213.75      10359      0.923      0.924      0.009
56.25, 225      10891      1.000      0.981      0.010
56.25, 236.25      11695      1.000      1.000      0.009
56.25, 247.5      10595      1.000      0.981      0.010
56.25, 258.75      10348      0.928      0.924      0.009
56.25, 270       9377      0.837      0.831      0.009
56.25, 281.25       9294      0.685      0.707      0.007
56.25, 292.5       9310      0.528      0.556      0.005
56.25, 303.75       9322      0.336      0.383      0.003
56.25, 315       9359      0.125      0.195      0.001
56.25, 326.25       9352     -0.037      0.000      0.000
56.25, 337.5       9397     -0.230     -0.195      0.002
56.25, 348.75       9269     -0.413     -0.383      0.004
56.25, 360       9316     -0.593     -0.556      0.006
   67.5, 0       9170     -0.401     -0.383      0.004
67.5, 11.25       9168     -0.593     -0.556      0.006
67.5, 22.5       9649     -0.719     -0.707      0.007
67.5, 33.75       9780     -0.844     -0.831      0.009
  67.5, 45      10239     -0.932     -0.924      0.009
67.5, 56.25      10530     -1.000     -0.981      0.010
67.5, 67.5      11642     -1.000     -1.000      0.009
67.5, 78.75      10707     -1.000     -0.981      0.010
  67.5, 90       9852     -0.923     -0.924      0.009
67.5, 101.25       9572     -0.810     -0.831      0.008
67.5, 112.5       9377     -0.673     -0.707      0.007
67.5, 123.75       9228     -0.534     -0.556      0.006
 67.5, 135       9226     -0.346     -0.383      0.004
67.5, 146.25       9206     -0.157     -0.195      0.002
67.5, 157.5       9239      0.033     -0.000      0.000
67.5, 168.75       9324      0.231      0.195      0.002
 67.5, 180       9227      0.401      0.383      0.004
67.5, 191.25       9016      0.584      0.556      0.006
67.5, 202.5       9439      0.730      0.707      0.008
67.5, 213.75       9629      0.844      0.831      0.009
 67.5, 225      10362      0.926      0.924      0.009
67.5, 236.25      10702      1.000      0.981      0.010
67.5, 247.5      11561      1.000      1.000      0.009
67.5, 258.75      10515      1.000      0.981      0.010
 67.5, 270       9884      0.928      0.924      0.009
67.5, 281.25       9533      0.801      0.831      0.008
67.5, 292.5       9570      0.665      0.707      0.007
67.5, 303.75       9289      0.516      0.556      0.005
 67.5, 315       9310      0.351      0.383      0.004
67.5, 326.25       9251      0.144      0.195      0.001
67.5, 337.5       9182     -0.045      0.000      0.000
67.5, 348.75       9269     -0.206     -0.195      0.002
 67.5, 360       9043     -0.390     -0.383      0.004
  78.75, 0       9101     -0.227     -0.195      0.002
78.75, 11.25       8969     -0.396     -0.383      0.004
78.75, 22.5       8894     -0.583     -0.556      0.006
78.75, 33.75       9436     -0.730     -0.707      0.008
 78.75, 45       9679     -0.855     -0.831      0.009
78.75, 56.25      10344     -0.919     -0.924      0.009
78.75, 67.5      10712     -0.999     -0.981      0.010
78.75, 78.75      11449     -1.000     -1.000      0.009
 78.75, 90      10538     -0.999     -0.981      0.010
78.75, 101.25      10058     -0.893     -0.924      0.009
78.75, 112.5       9871     -0.805     -0.831      0.008
78.75, 123.75       9186     -0.696     -0.707      0.007
78.75, 135       9219     -0.527     -0.556      0.005
78.75, 146.25       9030     -0.358     -0.383      0.004
78.75, 157.5       9095     -0.175     -0.195      0.002
78.75, 168.75       8922      0.009     -0.000      0.000
78.75, 180       9304      0.202      0.195      0.002
78.75, 191.25       9016      0.414      0.383      0.004
78.75, 202.5       8912      0.576      0.556      0.006
78.75, 213.75       9402      0.707      0.707      0.007
78.75, 225       9631      0.844      0.831      0.009
78.75, 236.25      10156      0.929      0.924      0.009
78.75, 247.5      10551      1.000      0.981      0.010
78.75, 258.75      11503      1.000      1.000      0.009
78.75, 270      10487      1.000      0.981      0.010
78.75, 281.25      10193      0.901      0.924      0.009
78.75, 292.5       9678      0.816      0.831      0.008
78.75, 303.75       9492      0.675      0.707      0.007
78.75, 315       8920      0.535      0.556      0.006
78.75, 326.25       9027      0.350      0.383      0.004
78.75, 337.5       9009      0.183      0.195      0.002
78.75, 348.75       9203     -0.020      0.000      0.000
78.75, 360       8946     -0.215     -0.195      0.002
     90, 0       8877     -0.015     -0.000      0.000
 90, 11.25       9089     -0.195     -0.195      0.002
  90, 22.5       9024     -0.381     -0.383      0.004
 90, 33.75       8767     -0.563     -0.556      0.006
    90, 45       9230     -0.714     -0.707      0.007
 90, 56.25       9383     -0.841     -0.831      0.009
  90, 67.5       9841     -0.923     -0.924      0.009
 90, 78.75      10372     -1.000     -0.981      0.010
    90, 90      11185     -1.000     -1.000      0.009
90, 101.25      10415     -1.000     -0.981      0.010
 90, 112.5      10054     -0.924     -0.924      0.009
90, 123.75       9282     -0.840     -0.831      0.009
   90, 135       9083     -0.710     -0.707      0.007
90, 146.25       8944     -0.585     -0.556      0.006
 90, 157.5       8855     -0.391     -0.383      0.004
90, 168.75       9000     -0.191     -0.195      0.002
   90, 180       8959      0.008     -0.000      0.000
90, 191.25       8978      0.193      0.195      0.002
 90, 202.5       8779      0.400      0.383      0.004
90, 213.75       8968      0.573      0.556      0.006
   90, 225       9189      0.706      0.707      0.007
90, 236.25       9465      0.844      0.831      0.009
 90, 247.5       9954      0.925      0.924      0.009
90, 258.75      10640      0.999      0.981      0.010
   90, 270      11285      1.000      1.000      0.009
90, 281.25      10453      1.000      0.981      0.010
/home/esc/Músicas/experimentos_speedupy-paper/exps/epr/epr.py:101: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show(block=False)
 90, 292.5      10028      0.925      0.924      0.009
90, 303.75       9468      0.851      0.831      0.009
   90, 315       9301      0.720      0.707      0.007
90, 326.25       9116      0.578      0.556      0.006
 90, 337.5       8859      0.383      0.383      0.004
90, 348.75       8898      0.176      0.195      0.002
   90, 360       8989      0.011      0.000      0.000
 101.25, 0       9015      0.206      0.195      0.002
101.25, 11.25       9112      0.004     -0.000      0.000
101.25, 22.5       9247     -0.159     -0.195      0.002
101.25, 33.75       9173     -0.376     -0.383      0.004
101.25, 45       9035     -0.549     -0.556      0.006
101.25, 56.25       9436     -0.691     -0.707      0.007
101.25, 67.5       9806     -0.807     -0.831      0.008
101.25, 78.75      10221     -0.897     -0.924      0.009
101.25, 90      10622     -1.000     -0.981      0.010
101.25, 101.25      11534     -1.000     -1.000      0.009
101.25, 112.5      10520     -1.000     -0.981      0.010
101.25, 123.75      10042     -0.929     -0.924      0.009
101.25, 135       9691     -0.842     -0.831      0.009
101.25, 146.25       9456     -0.718     -0.707      0.007
101.25, 157.5       9002     -0.582     -0.556      0.006
101.25, 168.75       9129     -0.387     -0.383      0.004
101.25, 180       9072     -0.210     -0.195      0.002
101.25, 191.25       9133     -0.033     -0.000      0.000
101.25, 202.5       9023      0.155      0.195      0.002
101.25, 213.75       9046      0.348      0.383      0.004
101.25, 225       9187      0.555      0.556      0.006
101.25, 236.25       9579      0.676      0.707      0.007
101.25, 247.5       9516      0.810      0.831      0.008
101.25, 258.75      10464      0.893      0.924      0.009
101.25, 270      10380      1.000      0.981      0.010
101.25, 281.25      11456      1.000      1.000      0.009
101.25, 292.5      10557      0.999      0.981      0.010
101.25, 303.75      10044      0.933      0.924      0.009
101.25, 315       9620      0.846      0.831      0.009
101.25, 326.25       9429      0.728      0.707      0.007
101.25, 337.5       9010      0.585      0.556      0.006
101.25, 348.75       9253      0.384      0.383      0.004
