=== 2025-05-29 01:21:00 START | TIME_LIMIT 1 sec | IGNORE ['/home/joaolopez/IncPy/Lib/']
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2973 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2982 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2990 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2972 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2993 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2976 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2981 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2959 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2967 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2991 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 3007 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2969 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2998 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2992 ms
CANNOT_MEMOIZE do_it [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/dnacc/walking_colloid/walking_colloid_incpy.py] | impure because mutate global var ('dnacc/walking_colloid/walking_colloid_incpy.py', 'plates') | runtime 2984 ms
